id,texto,ad_hominem,ladeira_escorregadia,gen_apressada,falso_dilema,apelo_emocao,espantalho,falacias_esperadas,resposta_esperada
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.",1,0,0,0,0,0,"Ad Hominem","Ataque pessoal que ignora o argumento."
2,"Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?",0,0,0,0,0,1,"Espantalho","Distorce o argumento original."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.",0,0,0,0,1,0,"Apelo à Emoção","Apela ao patriotismo e culpa."
4,"Depois da brutal megaoperação no Alemão-Penha onde dezenas de jovens morreram, fica claro que se não agirmos agora para proteger nossas comunidades e nossos filhos, estamos aceitando que mais vidas inocentes serão ceifadas. Você quer isso?",0,0,0,0,1,0,"Apelo à Emoção","Apelo ao medo e tragédia."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",0,0,1,0,0,0,"Generalização Apressada","Generaliza a partir de poucos casos."
6,"Ou você apoia a reforma agraria, ou está contra o progresso e contra os direitos dos trabalhadores.",0,0,0,1,0,0,"Falso Dilema","Apresenta apenas duas opções extremas."
7,"Os ambientalistas vivem dizendo que querem proibir até as vacas de soltarem metano, como se o problema do clima fosse o gado. Eles exageram tudo e querem controlar até o que a gente come.",0,0,0,0,0,1,"Espantalho","Distorce a posição dos ambientalistas."
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar",0,1,0,0,0,0,"Declive Escorregadio","Prediz desastre inevitável."
9,"As pessoas que criticam o uso de remédios naturais só querem vender mais remédios caros e não se preocupam com a saúde de verdade.",1,0,0,0,0,0,"Ad Hominem","Ataca motivação em vez de argumentar."
10,"Quem não votou no Lula nas últimas eleições é alguém que não apoia a classe trabalhadora. Não dá pra ficar em cima do muro quando o assunto é o povo — ou você está com os trabalhadores, ou está contra eles.",0,0,0,1,0,0,"Falso Dilema","Reduz a discussão a duas opções."
11,"Se aceitarmos que os esportes se tornem mais inclusivos para pessoas transgênero, logo todas as campeãs de competições femininas serão trans e as mulheres cisgênero não terão mais chance alguma de vencer",0,1,0,0,0,0,"Declive Escorregadio","Afirma que um passo leva ao extremo."
12,"Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.",0,0,1,0,0,0,"Generalização Apressada","Generaliza motivação dos defensores."
13,"Esse deputado vive mentindo pra imprensa e só quer aparecer. Ele diz que defende ‘maior transparência’, mas no fundo quer censurar tudo e calar quem pensa diferente. Pessoas assim não merecem ser levadas a sério.",1,0,0,0,0,1,"Ad Hominem e Espantalho","Ataque pessoal e distorção."
14,"Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.",0,0,0,1,1,0,"Falso Dilema e Apelo à Emoção","Falsa dicotomia e apelo emocional."
15,"Meu vizinho tomou a vacina e passou mal por semanas. Essas vacinas são perigosas! Se continuarem obrigando todo mundo a tomar, logo o governo vai controlar até o que colocamos no corpo.",0,1,1,0,0,0,"Declive Escorregadio e Generalização Apressada","Generalização + cadeia catastrófica."
16,"Pessoa A: Acho que deveríamos revisar o conteúdo das escolas para incluir mais discussões sobre desigualdade. Pessoa B: Então você quer doutrinar as crianças e encher as salas de aula de ideologia? Pense nas famílias que só querem proteger seus filhos dessas ideias perigosas!",0,0,0,0,1,1,"Apelo à Emoção e Espantalho","Distorção + apelo emocional."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.",1,0,0,1,0,0,"Ad Hominem e Falso Dilema","Ataque + falsa dicotomia."
18,"Se aceitarmos que protestos bloqueiem ruas, logo o país inteiro vai virar um caos sem ordem nem segurança. Pense nas famílias que não conseguem chegar ao hospital por causa desses manifestantes irresponsáveis.",0,1,0,0,1,0,"Declive Escorregadio e Apelo à Emoção","Cenário extremo + apelo emocional."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.",0,0,1,1,0,0,"Generalização Apressada e Falso Dilema","Generaliza e reduz a duas opções."
