id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.","Ad Hominem, Generalização Apressada","Falacias: Ad Hominem, Generalização Apressada; Explicacao: O texto ataca o caráter da pessoa (""Cara nojento"", ""Esse cara mentiu"") em vez de refutar seus argumentos (Ad Hominem) e faz uma generalização ampla sobre seu comportamento futuro (""Esse cara vai falar qualquer coisa"") baseada em um número limitado de supostas ações passadas (Generalização Apressada)."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,"Ladeira Escorregadia, Falso Dilema, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção, Falso Dilema; Explicacao: Pessoa B deturpa a proposta de Pessoa A ('discutir formas de reduzir') para uma versão extrema e mais fácil de atacar ('desarmar completamente'), criando um espantalho. Em seguida, alega que isso levará inevitavelmente a consequências negativas ('deixar os cidadãos indefesos contra criminosos'), configurando uma ladeira escorregadia. A frase 'deixar os cidadãos indefesos contra criminosos' apela à emoção (medo). A pergunta também impõe um falso dilema, sugerindo que só há duas opções extremas sem considerar alternativas."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: O texto usa termos como ""amar o Brasil"" e ""futuro dos filhos"" para manipular emoções, e apresenta apenas duas opções extremas (protestar ou trair a nação), ignorando outras possibilidades."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,Falacias: Generalização Apressada; Explicacao: A pessoa generaliza a partir de uma experiência pessoal limitada e negativa para fazer uma afirmação abrangente e definitiva sobre todos os franceses.
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar",Ladeira Escorregadia,"Falacias: Ladeira Escorregadia; Explicacao: O argumento sugere que uma ação inicial (redução da jornada de trabalho) levará inevitavelmente a uma série de consequências negativas extremas (desemprego, colapso econômico) sem evidências para cada passo."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,"Ad Hominem, Espantalho","Falacias: Ad Hominem, Espantalho; Explicacao: A falácia Ad Hominem ataca a suposta motivação dos defensores do investimento em ciência (""apenas querendo gastar dinheiro"") em vez de seus argumentos. A falácia do Espantalho distorce o argumento real para investir em ciência (que normalmente busca benefícios e retorno) para uma versão mais fraca e fácil de atacar (""gastar dinheiro público sem retorno real"")."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto apresenta um falso dilema ao propor apenas duas opções extremas, apela à emoção ao invocar o sofrimento das mães e usa Ad Hominem ao atacar o caráter (falta de compaixão) de quem se opõe."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Falso Dilema, Apelo à Emoção; Explicacao: O texto ataca o caráter dos críticos em vez de seus argumentos (Ad Hominem), apresenta apenas duas opções extremas como se fossem as únicas (Falso Dilema), e usa o medo de ver o país afundar na miséria para manipular a escolha (Apelo à Emoção)."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Generalização Apressada, Apelo à Emoção; Explicacao: O texto apresenta apenas duas opções extremas (Falso Dilema), generaliza uma ameaça global a partir de poucos exemplos (Generalização Apressada) e usa linguagem alarmista para evocar medo (""golpe digital"") (Apelo à Emoção)."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce a proposta de Pessoa A para uma versão exagerada e fácil de atacar, argumentando que isso levará inevitavelmente a uma série de consequências desastrosas, visando provocar medo."
