id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.","Ad Hominem, Generalização Apressada","Falacias: Ad Hominem, Generalização Apressada; Explicacao: O texto ataca o caráter do indivíduo (""cara nojento"", ""vai falar qualquer coisa"") em vez de seus argumentos, e generaliza sobre sua conduta a partir de um único incidente de mentira."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,"Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Apelo à Emoção, Espantalho, Ladeira Escorregadia; Explicacao: Pessoa B distorce o argumento de Pessoa A (espantalho), exagerando-o para uma sequência inevitável de eventos negativos (ladeira escorregadia) e usando o medo de cidadãos indefesos para rejeitar a ideia (apelo à emoção)."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: O texto usa o amor pelo Brasil e a preocupação com os filhos para manipular as emoções, além de apresentar apenas duas opções extremas (protestar ou trair a nação), ignorando outras possibilidades."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,"Falacias: Generalização Apressada; Explicacao: O autor tira uma conclusão abrangente sobre todos os franceses (""arrogantes e ladrões"") baseando-se em uma única experiência pessoal negativa e isolada de sua viagem."
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar","Ladeira Escorregadia, Apelo à Emoção","Falacias: Ladeira Escorregadia, Apelo à Emoção; Explicacao: A falácia da ladeira escorregadia é identificada pela predição de uma cadeia inevitável de eventos negativos extremos (empresas não se mantêm, desemprego, economia desaba) a partir de uma ação inicial (redução da jornada); o apelo à emoção é usado ao tentar manipular o público com o medo das consequências catastróficas projetadas."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,Espantalho,"Falacias: Espantalho; Explicacao: O argumento em defesa do investimento em ciência é distorcido e simplificado, sendo apresentado como um mero desejo de ""gastar dinheiro público sem retorno real"", o que não reflete a totalidade ou as justificativas reais dos proponentes."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto apresenta apenas duas opções extremas, apela à emoção ao mencionar o sofrimento das mães e ataca o caráter dos oponentes ao dizer que não têm compaixão."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Generalização Apressada, Falso Dilema, Apelo à Emoção; Explicacao: O texto ataca o crítico da privatização (Ad Hominem e Generalização Apressada), apresenta apenas duas opções extremas como as únicas possíveis (Falso Dilema) e apela ao medo da miséria para persuadir (Apelo à Emoção)."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Ladeira Escorregadia, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Ladeira Escorregadia, Generalização Apressada, Apelo à Emoção; Explicacao: O texto apresenta apenas duas opções como únicas (Falso Dilema), sugere uma sequência inevitável de eventos negativos (Ladeira Escorregadia), tira conclusões amplas de poucos exemplos (Generalização Apressada) e apela ao medo de um ""golpe digital"" (Apelo à Emoção)."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce a proposta de Pessoa A (Espantalho), argumentando que isso levará a uma série inevitável de consequências desastrosas (Ladeira Escorregadia), e usa o medo de um colapso econômico para manipular (Apelo à Emoção)."
