id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.","Ad Hominem, Generalização Apressada","Falacias: Ad Hominem, Generalização Apressada; Explicacao: O texto ataca o caráter do indivíduo com insultos (""Cara nojento"") e críticas à sua reputação (""não tem patrocínios""), em vez de seus argumentos (Ad Hominem). Além disso, ele faz uma conclusão ampla de que ""vai falar qualquer coisa"" baseado em uma única alegação de mentira (Generalização Apressada)."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,Espantalho,"Falacias: Espantalho; Explicacao: Pessoa B distorce a proposta de Pessoa A (""discutir formas de reduzir o número de armas"") para uma posição mais extrema e facilmente atacável (""desarmar completamente a população e deixar os cidadãos indefesos"")."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: O texto utiliza o Apelo à Emoção ao invocar sentimentos de amor pelo Brasil e preocupação com os filhos para persuadir. Em seguida, apresenta um Falso Dilema ao sugerir que as únicas opções são protestar (ser patriota) ou ficar calado (trair a nação e destruir o país), desconsiderando outras possibilidades."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,"Falacias: Generalização Apressada; Explicacao: O autor generaliza sobre todos os franceses (""arrogantes e ladrões"") com base em uma única experiência pessoal negativa (ter sido roubado em uma viagem)."
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar","Ladeira Escorregadia, Apelo à Emoção","Falacias: Ladeira Escorregadia, Apelo à Emoção; Explicacao: A falácia da Ladeira Escorregadia está presente ao prever uma cadeia inevitável de eventos negativos (empresas não se manterão, desemprego aumentará, economia desabará) a partir de uma ação inicial (redução da jornada de trabalho). O Apelo à Emoção é usado ao tentar assustar o público com as consequências catastróficas (desemprego, colapso econômico) para que rejeitem a proposta."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,"Ad Hominem, Espantalho","Falacias: Ad Hominem, Espantalho; Explicacao: A afirmação ataca a motivação dos defensores do investimento em ciência (""apenas querendo gastar dinheiro público"") em vez de seus argumentos (Ad Hominem), e distorce o argumento original para uma versão mais fácil de atacar (""gastar dinheiro público sem retorno real""), caracterizando-o como desperdício (Espantalho)."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto apresenta um falso dilema ao limitar as escolhas a duas opções extremas, usa apelo à emoção com a menção das mães e ataca a compaixão dos oponentes, configurando Ad Hominem."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Generalização Apressada, Falso Dilema, Apelo à Emoção; Explicacao: O texto ataca o caráter do crítico (""preguiçoso""), generaliza essa característica para todos que criticam, apresenta apenas duas opções extremas como se não houvesse alternativas, e usa o medo da ""miséria"" para manipular a decisão."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema, Generalização Apressada; Explicacao: A ameaça de um ""golpe digital"" tenta incutir medo (Apelo à Emoção); a argumentação apresenta apenas duas opções extremas (Falso Dilema); e generaliza a partir de poucos exemplos (Nepal, México) para o mundo todo (Generalização Apressada)."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce o argumento de Pessoa A (reduzir consumo) para uma versão extrema (acabar com churrascos), assume que isso levará a uma série de consequências negativas e exageradas (o país vai quebrar) e usa o medo para influenciar."
33,Pessoa A: acho que precisamos revisar impostos para empresas. Pessoa B: Então você quer destruir o empreendedorismo! E quem apoia isso claramente não tem compaixão pelos trabalhadores que dependem desses empregos.,"Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce a proposta de Pessoa A (Espantalho), sugere uma cadeia inevitável de eventos negativos (Ladeira Escorregadia) e apela à emoção sobre a compaixão pelos trabalhadores para atacar a ideia."
37,"Se começarmos a liberar protestos em rodovias, logo ninguém conseguirá chegar ao trabalho. Eu vi *um* protesto que parou uma ambulância, então *todos* os protestos vão acabar matando gente.","Ladeira Escorregadia, Generalização Apressada, Apelo à Emoção","Falacias: Ladeira Escorregadia, Generalização Apressada, Apelo à Emoção; Explicacao: A primeira parte do texto apresenta uma Ladeira Escorregadia ao prever uma sequência inevitável de eventos negativos. A segunda parte usa Generalização Apressada ao inferir que todos os protestos causarão mortes a partir de um único incidente. Além disso, a menção de ""matando gente"" é um Apelo à Emoção, buscando chocar e persuadir com base no medo."
