id,texto,falacias_encontradas,resposta
1,"Esse cara mentiu. Deixe eu falar pra vocês, esse cara mentiu sobre Ben Carson quando ele tirou os votos do Ben Carson em Iowa. E ele continua. Esse cara vai falar qualquer coisa. Cara nojento. Agora eu sei porque ele não tem patrocínios de nenhum dos seus colegas.",Ad Hominem,"Falacias: Ad Hominem; Explicacao: O texto ataca o caráter e a integridade da pessoa (""mentiu"", ""nojento"", ""vai falar qualquer coisa"") em vez de refutar seus argumentos ou afirmações."
2,Pessoa A: Acho que precisamos discutir formas de reduzir o número de armas em circulação no Brasil. Pessoa B: Então você quer desarmar completamente a população e deixar os cidadãos indefesos contra criminosos?,"Ladeira Escorregadia, Espantalho","Falacias: Espantalho, Ladeira Escorregadia; Explicacao: Pessoa B distorce o argumento de Pessoa A (""reduzir o número de armas"") para uma versão extrema e fácil de atacar (""desarmar completamente a população"" - Espantalho), e então argumenta que essa ação levará inevitavelmente a uma série de consequências negativas (""deixar os cidadãos indefesos contra criminosos"" - Ladeira Escorregadia)."
3,"Se você ama de verdade o Brasil e se importa com o futuro dos seus filhos, precisa protestar contra essa PEC que tenta blindar os parlamentares. Ficar calado agora é trair a nação e deixar que destruam o país.","Falso Dilema, Apelo à Emoção","Falacias: Apelo à Emoção, Falso Dilema; Explicacao: O texto apela aos sentimentos de amor pelo Brasil e preocupação com os filhos para forçar uma ação, e apresenta a situação como um ""falso dilema"" ao sugerir que ficar calado é o mesmo que trair a nação e permitir a destruição do país, não havendo outras opções."
5,"Fui pra França no Natal, minha experiência lá com os franceses foi horrível. Até fui roubada quando visitei o museu do Louvre. Quando for pra Europa, saiba que a França é linda, mas os franceses são arrogantes e ladrões.",Generalização Apressada,Falacias: Generalização Apressada; Explicacao: O autor tira uma conclusão abrangente sobre todos os franceses (que são arrogantes e ladrões) a partir de uma única experiência pessoal negativa e um incidente isolado de roubo.
8,"Se começarmos a reduzir a jornada de trabalho e acabar com o regime 6x1, logo as empresas não vão conseguir se manter, o desemprego vai aumentar e a economia vai desabar",Ladeira Escorregadia,"Falacias: Ladeira Escorregadia; Explicacao: O texto assume que uma pequena ação inicial (reduzir a jornada de trabalho) levará inevitavelmente a uma série de consequências negativas e catastróficas (empresas falindo, desemprego, economia desabando) sem apresentar evidências suficientes para essa cadeia causal."
12,Quem defende que o governo deve investir mais em ciência está apenas querendo gastar dinheiro público sem retorno real.,Espantalho,"Falacias: Espantalho; Explicacao: O argumento de investir em ciência é distorcido e simplificado para ""querer gastar dinheiro público sem retorno real"", criando uma versão mais fácil de atacar e desconsiderar."
14,Ou você apoia a 'limpa' que foi feita no morro do Alemão ou está do lado dos criminosos que destroem famílias. Pense nas mães que perderam seus filhos! Quem se opõe a essa medida claramente não tem compaixão pelo sofrimento das reais vítimas.,"Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Apelo à Emoção, Ad Hominem; Explicacao: O texto apresenta um Falso Dilema ao oferecer apenas duas opções extremas, utiliza Apelo à Emoção ao evocar o sofrimento das mães para persuadir, e emprega Ad Hominem ao atacar o caráter de quem se opõe, rotulando-os como desprovidos de compaixão."
17,"Quem critica a privatização é um preguiçoso que nunca produziu nada. Ou você apoia o livre mercado e o progresso, ou quer ver o país afundar na miséria.","Ad Hominem, Falso Dilema, Apelo à Emoção","Falacias: Ad Hominem, Falso Dilema, Apelo à Emoção; Explicacao: A primeira frase ataca o caráter do crítico (""preguiçoso"") em vez de seu argumento. A segunda frase apresenta apenas duas opções extremas como se fossem as únicas (livre mercado vs. miséria), o que também tenta manipular emoções ao invocar o medo da ""miséria""."
19,"Os acontecimentos no Nepal e agora no México mostram de forma clara que ou o Brasil regula as redes sociais ou seremos alvo de um golpe digital, tal qual está ocorrendo pelo mundo todo.","Ladeira Escorregadia, Generalização Apressada, Falso Dilema, Apelo à Emoção","Falacias: Falso Dilema, Ladeira Escorregadia, Apelo à Emoção, Generalização Apressada; Explicacao: O texto impõe um falso dilema entre regular ou sofrer um golpe, cria uma ladeira escorregadia ao sugerir consequências inevitáveis da falta de regulação, apela à emoção com a ameaça de 'golpe digital' e faz uma generalização apressada de poucos exemplos para um cenário global e inevitável para o Brasil."
20,"Pessoa A: Precisamos reduzir o consumo de carne para ajudar o planeta. Pessoa B: Então você quer acabar com os churrascos, fechar fazendas e destruir a economia rural? Se isso acontecer, o país vai quebrar.","Ladeira Escorregadia, Apelo à Emoção, Espantalho","Falacias: Espantalho, Ladeira Escorregadia, Apelo à Emoção; Explicacao: Pessoa B distorce a proposta original de Pessoa A (Espantalho), prevê uma sequência inevitável de eventos catastróficos sem evidências (Ladeira Escorregadia) e usa o medo da ruína econômica para rejeitar o argumento (Apelo à Emoção)."
